Assignment 3
Askisi 2
Iteration 1
6,000000
17,000000
36,000000
62,000000
121,000000
135,000000
184,000000
256,000000
325,000000
425,000000
Iteration 2
6,000000
18,000000
44,000000
72,000000
94,000000
134,000000
182,000000
294,000000
299,000000
396,000000
Iteration 3
5,000000
18,000000
45,000000
72,000000
243,000000
134,000000
178,000000
240,000000
299,000000
369,000000
Iteration 4
6,000000
18,000000
36,000000
67,000000
95,000000
165,000000
181,000000
337,000000
388,000000
570,000000
Iteration 5
6,000000
18,000000
37,000000
91,000000
95,000000
135,000000
185,000000
241,000000
304,000000
370,000000
Iteration 6
6,000000
18,000000
36,000000
63,000000
96,000000
135,000000
188,000000
240,000000
298,000000
384,000000
Iteration 7
6,000000
19,000000
36,000000
65,000000
95,000000
134,000000
182,000000
239,000000
352,000000
371,000000
Iteration 8
23,000000
17,000000
37,000000
62,000000
95,000000
133,000000
181,000000
300,000000
298,000000
372,000000
Iteration 9
5,000000
18,000000
36,000000
62,000000
94,000000
136,000000
186,000000
240,000000
330,000000
366,000000
Iteration 10
6,000000
17,000000
36,000000
63,000000
113,000000
135,000000
182,000000
236,000000
301,000000
505,000000
Iteration 11
6,000000
18,000000
36,000000
84,000000
95,000000
134,000000
182,000000
239,000000
296,000000
376,000000
Iteration 12
6,000000
17,000000
36,000000
63,000000
95,000000
134,000000
180,000000
241,000000
328,000000
365,000000
Iteration 13
6,000000
17,000000
37,000000
62,000000
95,000000
147,000000
181,000000
238,000000
300,000000
410,000000
Iteration 14
6,000000
17,000000
37,000000
72,000000
97,000000
133,000000
180,000000
242,000000
361,000000
398,000000
Iteration 15
6,000000
18,000000
37,000000
63,000000
100,000000
168,000000
184,000000
234,000000
344,000000
442,000000
Iteration 16
6,000000
18,000000
72,000000
63,000000
113,000000
136,000000
213,000000
238,000000
361,000000
374,000000
Iteration 17
6,000000
17,000000
36,000000
62,000000
95,000000
137,000000
216,000000
344,000000
426,000000
371,000000
Iteration 18
5,000000
17,000000
36,000000
63,000000
96,000000
141,000000
183,000000
234,000000
303,000000
413,000000
Iteration 19
6,000000
18,000000
36,000000
63,000000
112,000000
188,000000
192,000000
281,000000
